x,y,r,g,b
0,0,255,255,255
1,0,255,255,255
2,0,255,255,255
3,0,255,255,255
4,0,255,255,255
5,0,255,255,255
6,0,255,255,255
7,0,255,255,255
8,0,255,255,255
9,0,255,255,255
10,0,255,255,255
11,0,255,255,255
12,0,255,255,255
13,0,255,255,255
14,0,255,255,255
15,0,255,255,255
16,0,255,255,255
17,0,255,255,255
18,0,255,255,255
19,0,255,255,255
20,0,255,255,255
21,0,255,255,255
22,0,255,255,255
23,0,255,255,255
24,0,255,255,255
25,0,255,255,255
26,0,255,255,255
27,0,255,255,255
28,0,255,255,255
29,0,255,255,255
30,0,255,255,255
31,0,255,255,255
32,0,255,255,255
33,0,255,255,255
34,0,255,255,255
35,0,255,255,255
36,0,255,255,255
37,0,255,255,255
38,0,255,255,255
39,0,255,255,255
40,0,255,255,255
41,0,255,255,255
42,0,255,255,255
43,0,255,255,255
44,0,255,255,255
45,0,255,255,255
46,0,253,253,253
47,0,255,255,255
48,0,177,177,177
49,0,53,53,53
50,0,42,42,42
51,0,48,48,48
52,0,53,53,53
53,0,67,67,67
54,0,130,130,130
55,0,170,170,170
56,0,180,180,180
57,0,181,181,181
58,0,180,180,180
59,0,177,177,177
60,0,179,179,179
61,0,181,181,181
62,0,181,181,181
63,0,174,174,174
64,0,175,175,175
65,0,179,179,179
66,0,188,188,188
67,0,191,191,191
68,0,184,184,184
69,0,194,194,194
70,0,187,187,187
71,0,170,170,170
72,0,151,151,151
73,0,146,146,146
74,0,138,138,138
75,0,125,125,125
76,0,129,129,129
77,0,129,129,129
78,0,140,140,140
79,0,140,140,140
80,0,131,131,131
81,0,126,126,126
82,0,119,119,119
83,0,106,106,106
84,0,89,89,89
85,0,72,72,72
86,0,57,57,57
87,0,47,47,47
88,0,37,37,37
89,0,36,36,36
90,0,41,41,41
91,0,57,57,57
92,0,180,180,180
93,0,254,254,254
94,0,253,253,253
95,0,255,255,255
96,0,255,255,255
97,0,255,255,255
98,0,255,255,255
99,0,255,255,255
100,0,255,255,255
101,0,255,255,255
102,0,255,255,255
103,0,255,255,255
104,0,255,255,255
105,0,255,255,255
106,0,255,255,255
107,0,255,255,255
108,0,255,255,255
109,0,255,255,255
110,0,255,255,255
111,0,255,255,255
112,0,255,255,255
113,0,255,255,255
114,0,255,255,255
115,0,255,255,255
116,0,255,255,255
117,0,255,255,255
118,0,255,255,255
119,0,255,255,255
120,0,255,255,255
121,0,255,255,255
122,0,255,255,255
123,0,255,255,255
124,0,255,255,255
125,0,255,255,255
126,0,255,255,255
127,0,255,255,255
128,0,255,255,255
129,0,255,255,255
130,0,255,255,255
131,0,255,255,255
132,0,255,255,255
133,0,255,255,255
134,0,255,255,255
135,0,255,255,255
136,0,255,255,255
137,0,255,255,255
138,0,255,255,255
139,0,255,255,255
140,0,255,255,255
0,1,255,255,255
1,1,255,255,255
2,1,255,255,255
3,1,255,255,255
4,1,255,255,255
5,1,255,255,255
6,1,255,255,255
7,1,255,255,255
8,1,255,255,255
9,1,255,255,255
10,1,255,255,255
11,1,255,255,255
12,1,255,255,255
13,1,255,255,255
14,1,255,255,255
15,1,255,255,255
16,1,255,255,255
17,1,255,255,255
18,1,255,255,255
19,1,255,255,255
20,1,255,255,255
21,1,255,255,255
22,1,255,255,255
23,1,255,255,255
24,1,255,255,255
25,1,255,255,255
26,1,255,255,255
27,1,255,255,255
28,1,255,255,255
29,1,255,255,255
30,1,255,255,255
31,1,255,255,255
32,1,255,255,255
33,1,255,255,255
34,1,255,255,255
35,1,255,255,255
36,1,255,255,255
37,1,255,255,255
38,1,255,255,255
39,1,255,255,255
40,1,255,255,255
41,1,255,255,255
42,1,255,255,255
43,1,255,255,255
44,1,255,255,255
45,1,254,254,254
46,1,254,254,254
47,1,233,233,233
48,1,77,77,77
49,1,44,44,44
50,1,51,51,51
51,1,57,57,57
52,1,60,60,60
